,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
1BVR,2.8,X-RAY DIFFRACTION,10.1074/JBC.274.22.15582,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'E': ['P9WGR1'], 'D': ['P9WGR1'], 'F': ['P9WGR1']}","['A', 'C', 'B', 'E', 'D', 'F']",10336454,"[('A', ['1.3.1.9']), ('C', ['1.3.1.9']), ('B', ['1.3.1.9']), ('E', ['1.3.1.9']), ('D', ['1.3.1.9']), ('F', ['1.3.1.9'])]",C 1 2 1,17-SEP-98,"['NAD', 'THT']"
1C3V,2.39,X-RAY DIFFRACTION,10.1021/BI030044V,"{'A': ['P9WP23'], 'B': ['P9WP23']}","['A', 'B']",12962488,"[('A', ['1.3.1.26']), ('B', ['1.3.1.26'])]",I 21 21 21,28-JUL-99,"['PDC', 'PG4', 'NDP']"
1DF7,1.7,X-RAY DIFFRACTION,10.1006/JMBI.1999.3328,{'A': ['P9WNX1']},['A'],10623528,"[('A', ['1.5.1.3'])]",P 41,17-NOV-99,"['SO4', 'GOL', 'MTX', 'NDP']"
1DG5,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1999.3328,{'A': ['P9WNX1']},['A'],10623528,"[('A', ['1.5.1.3'])]",P 41,23-NOV-99,"['GOL', 'NDP', 'TOP']"
1DG7,1.8,X-RAY DIFFRACTION,10.1006/JMBI.1999.3328,{'A': ['P9WNX1']},['A'],10623528,"[('A', ['1.5.1.3'])]",P 41,23-NOV-99,"['WRB', 'GOL', 'NDP']"
1DG8,2.0,X-RAY DIFFRACTION,10.1006/JMBI.1999.3328,{'A': ['P9WNX1']},['A'],10623528,"[('A', ['1.5.1.3'])]",P 41,23-NOV-99,"['GOL', 'NDP']"
1ENY,2.2,X-RAY DIFFRACTION,,{'A': ['P9WGR1']},['A'],7886450,,P 62 2 2,27-JAN-95,['NAD']
1ENZ,2.7,X-RAY DIFFRACTION,,{'A': ['P9WGR1']},['A'],7886450,,P 62 2 2,27-JAN-95,['NAD']
1EYE,1.7,X-RAY DIFFRACTION,10.1006/JMBI.2000.4094,{'A': ['P9WND1']},['A'],11007651,"[('A', ['2.5.1.15'])]",P 32 2 1,05-MAY-00,"['MG', 'PMM']"
1F61,2.0,X-RAY DIFFRACTION,10.1038/77964,"{'A': ['P9WKK7'], 'B': ['P9WKK7']}","['A', 'B']",10932251,"[('A', ['4.1.3.1']), ('B', ['4.1.3.1'])]",P 65 2 2,19-JUN-00,['MG']
1F8I,2.25,X-RAY DIFFRACTION,10.1038/77964,"{'A': ['P9WKK7'], 'C': ['P9WKK7'], 'B': ['P9WKK7'], 'D': ['P9WKK7']}","['A', 'C', 'B', 'D']",10932251,"[('A', ['4.1.3.1']), ('C', ['4.1.3.1']), ('B', ['4.1.3.1']), ('D', ['4.1.3.1'])]",P 21 21 21,30-JUN-00,"['SIN', 'GLV', 'MG']"
