,m_gene,u_uniprot_acc,u_reviewed,u_pdb
0,Rv2763c,P9WNX1,True,4KNE
1,Rv2763c,P9WNX1,True,2CIG
2,Rv2763c,P9WNX1,True,4KL9
3,Rv2763c,P9WNX1,True,4KLX
4,Rv2763c,P9WNX1,True,4KM0
5,Rv2763c,P9WNX1,True,4KM2
6,Rv2763c,P9WNX1,True,1DG7
7,Rv2763c,P9WNX1,True,1DG5
8,Rv2763c,P9WNX1,True,1DG8
9,Rv2763c,P9WNX1,True,1DF7
10,Rv2763c,P9WNX1,True,4M2X
11,Rv2928,P9WQD5,True,
12,Rv1328,P9WMW1,True,
13,Rv2773c,P9WP23,True,1P9L
14,Rv2773c,P9WP23,True,1C3V
15,Rv2773c,P9WP23,True,1YL6
16,Rv2773c,P9WP23,True,1YL7
17,Rv2773c,P9WP23,True,1YL5
18,Rv2163c,O06214,False,
19,Rv2122c,P9WMM9,True,3C90
20,Rv2122c,P9WMM9,True,1Y6X
21,Rv2072c,P9WGA9,True,
22,Rv1448c,P9WG33,True,
23,Rv3534c,P9WMK5,True,4JN6
24,Rv3737,O69704,False,
25,Rv0422c,P9WG77,True,
26,Rv2612c,P9WPG7,True,
27,Rv3106,P9WIQ3,True,2C7G
28,Rv3106,P9WIQ3,True,1LQT
29,Rv3106,P9WIQ3,True,1LQU
30,Rv1850,P9WFF1,True,
31,Rv0470c,P9WPB3,True,1L1E
32,Rv3314c,P9WFS1,True,
33,Rv2677c,P9WMP1,True,
34,Rv0306,O07233,False,
35,Rv1391,P9WNZ1,True,
36,Rv0423c,P9WG79,True,
37,Rv1392,P9WGV1,True,3TDE
38,Rv2421c,P9WJJ5,True,4RPI
39,Rv2421c,P9WJJ5,True,4X0E
40,Rv2503c,P9WPW3,True,
41,Rv1908c,P9WIE5,True,1SJ2
42,Rv1908c,P9WIE5,True,2CCA
43,Rv1908c,P9WIE5,True,2CCD
44,Rv1908c,P9WIE5,True,4C51
45,Rv1908c,P9WIE5,True,4C50
46,Rv2957,P9WMX7,True,
47,Rv2182c,O53516,False,
48,Rv2495c,O06159,True,3L60
49,Rv2215,P9WIS7,True,
50,Rv1844c,Q79FJ2,False,
51,Rv2881c,P9WPF7,True,
52,Rv1620c,O06137,False,
53,Rv2435c,P71914,False,
54,Rv1484,P9WGR1,True,2AQ8
55,Rv1484,P9WGR1,True,3OEW
56,Rv1484,P9WGR1,True,1P44
57,Rv1484,P9WGR1,True,2IED
58,Rv1484,P9WGR1,True,2IEB
59,Rv1484,P9WGR1,True,4U0J
60,Rv1484,P9WGR1,True,2NSD
61,Rv1484,P9WGR1,True,2X22
62,Rv1484,P9WGR1,True,4BGE
63,Rv1484,P9WGR1,True,4BGI
64,Rv1484,P9WGR1,True,2B35
65,Rv1484,P9WGR1,True,4DQU
66,Rv1484,P9WGR1,True,2B37
