,m_gene,u_uniprot_acc,u_reviewed,u_pdb
0,KPN_03939,A6TFJ1,True,
1,KPN_01471,A6T8I2,False,4IIT
2,KPN_00801,A6T6L6,True,
3,KPN_00800,A6T6L5,True,
4,KPN_00803,A6T6L8,False,
5,KPN_01470,A6T8I1,False,4IIT
6,KPN_03935,A6TFI7,False,
7,KPN_03936,A6TFI8,False,
8,KPN_00778,A6T6J3,False,
9,KPN_03835,A6TF88,False,
10,KPN_00880,A6T6U5,False,
11,KPN_01274,A6T7Y6,False,
12,KPN_01277,A6T7Y9,False,
13,KPN_02844,A6TCD3,False,
14,KPN_01273,A6T7Y5,True,
15,KPN_01272,A6T7Y4,False,
16,KPN_02195,A6TAK2,False,
17,KPN_02194,A6TAK1,False,
18,KPN_02197,A6TAK4,False,
19,KPN_02196,A6TAK3,False,
20,KPN_04478,A6TGZ9,False,
21,KPN_02190,A6TAJ7,True,
22,KPN_02193,A6TAK0,False,
23,KPN_00337,A6T5B8,False,
24,KPN_04476,A6TGZ7,True,
25,KPN_02199,A6TAK6,False,
26,KPN_00332,A6T5B3,False,
27,KPN_04308,A6TGJ2,False,
28,KPN_03930,A6TFI2,False,
29,KPN_03587,A6TEJ6,False,
30,KPN_04576,A6TH93,True,
31,KPN_02784,A6TC73,False,
32,KPN_03580,A6TEJ0,True,
33,KPN_03931,A6TFI3,False,
34,KPN_00874,A6T6T9,False,
35,KPN_04673,A6THJ0,False,
36,KPN_04670,A6THI7,False,
37,KPN_04671,A6THI8,False,
38,KPN_04677,A6THJ4,True,
39,KPN_04674,A6THJ1,False,
40,KPN_04675,A6THJ2,True,
41,KPN_01167,A6T7M9,False,
42,KPN_00727,A6T6E9,False,
43,KPN_00728,A6T6F0,False,
44,KPN_00729,A6T6F1,False,
45,KPN_02293,A6TAU8,False,
46,KPN_03787,A6TF40,False,
47,KPN_03786,A6TF39,False,
48,KPN_02229,A6TAN4,False,
49,KPN_02586,A6TBN3,False,
50,KPN_02587,A6TBN4,False,
51,KPN_02584,A6TBN1,True,
52,KPN_03537,A6TEE8,False,
53,KPN_03624,A6TEN3,False,
54,KPN_03625,A6TEN4,False,
55,KPN_03626,A6TEN5,True,
56,KPN_01539,A6T8P9,False,
57,KPN_00254,A6T536,False,
58,KPN_00255,A6T537,False,
59,KPN_00256,A6T538,False,
60,KPN_01873,A6T9N3,False,
61,KPN_03193,A6TDC0,False,
62,KPN_01871,A6T9N1,False,
63,KPN_03191,A6TDB8,False,
64,KPN_03196,A6TDC3,False,
65,KPN_03197,A6TDC4,True,
66,KPN_03194,A6TDC1,False,
67,KPN_03195,A6TDC2,False,
