,i_entry_name,i_length,i_native,i_tm_helix,i_tm_score,u_uniprot_acc
0,AAEX_ECOLI,67.0, ,36.0,,P46478
1,ALPA_ECOLI,70.0, ,0.0,,P33997
2,ARNE_ECOLI,111.0, ,50.0,,Q47377
3,ARSR_ECOLI,117.0, ,0.0,,P37309
4,BFD_ECOLI,64.0, ,0.0,,P0AE56
5,BOLA_ECOLI,105.0, ,0.0,,P0ABE2
6,CCMD_ECOLI,69.0, ,21.0,,P0ABM5
7,PTQA_ECOLI,116.0, ,0.0,,P69791
8,CHPB_ECOLI,116.0, ,0.0,,P33647
9,PTMA_ECOLI,147.0, ,0.0,,P69824
10,CROE_ECOLI,66.0, ,0.0,,P75975
11,CSPB_ECOLI,71.0, ,0.0,,P36995
12,CSPE_ECOLI,69.0, ,0.0,,P0A972
13,CSPH_ECOLI,70.0, ,0.0,,P0A982
14,CUER_ECOLI,135.0,1q05B,0.0,,P0A9G4
15,CYAY_ECOLI,106.0,1ew4A,0.0,,P27838
16,DICA_ECOLI,135.0, ,0.0,,P06966
17,DINJ_ECOLI,86.0, ,0.0,,Q47150
18,DTD_ECOLI,145.0,1jkeA,0.0,,P0A6M4
19,EMRE_ECOLI,110.0,3b61A,73.0,,P23895
20,ETP_ECOLI,148.0, ,0.0,,P0ACZ2
21,EUTS_ECOLI,111.0,3i96B,1.0,,P63746
22,FER_ECOLI,111.0,1i7hA,0.0,,P0A9R4
23,FIS_ECOLI,98.0,3iv5B,0.0,,P0A6R3
24,FLGB_ECOLI,138.0, ,0.0,,P0ABW9
25,FLGN_ECOLI,138.0, ,0.0,,P43533
26,FLIN_ECOLI,137.0, ,0.0,,P15070
27,FLIT_ECOLI,121.0, ,0.0,,P0ABY2
28,FRDC_ECOLI,131.0,1kf6C,59.0,,P0A8Q0
29,LPFS_ECOLI,28.0, ,0.0,,P0ADF0
30,PTFB3_ECOLI,113.0, ,1.0,,P32676
31,FUR_ECOLI,148.0,2fu4A,0.0,,P0A9A9
32,GCSH_ECOLI,129.0,3a7lA,0.0,,P0A6T9
33,GLNB_ECOLI,112.0,1pilA,0.0,,P0A9Z1
34,GLPE_ECOLI,108.0,1gn0A,0.0,,P0A6V5
35,GLRX1_ECOLI,85.0, ,0.0,,P68688
36,GSPI_ECOLI,125.0, ,18.0,,P45760
37,HDEB_ECOLI,108.0,2xuvB,11.0,,P0AET2
38,HICA_ECOLI,58.0, ,0.0,,P76106
39,HIGB_ECOLI,104.0, ,0.0,,P64578
40,HIUH_ECOLI,137.0,2iglA,8.0,,P76341
41,HOFO_ECOLI,146.0, ,16.0,,P45751
42,HOKB_ECOLI,49.0, ,18.0,,P77494
43,HOLC_ECOLI,147.0,1em8A,0.0,,P28905
44,HSLJ_ECOLI,140.0, ,5.0,,P52644
45,DBHA_ECOLI,90.0,1mulA,0.0,,P0ACF0
46,HYBF_ECOLI,113.0, ,0.0,,P0A703
47,HYPC_ECOLI,90.0, ,0.0,,P0AAM3
48,IHFA_ECOLI,99.0,1ihfA,0.0,,P0A6X7
49,ILVM_ECOLI,87.0, ,0.0,,P0ADG1
50,INSA1_ECOLI,91.0, ,0.0,,P0CF07
