,m_gene,u_uniprot_acc,u_reviewed,u_pdb
0,b3821,P0A921,True,1ILD
1,b3821,P0A921,True,1FW2
2,b3821,P0A921,True,1FW3
3,b3821,P0A921,True,1QD6
4,b3821,P0A921,True,1QD5
5,b3821,P0A921,True,1ILZ
6,b3821,P0A921,True,1IM0
7,b2519,P76577,True,
8,b2518,P0A763,True,2HUR
9,b3824,P0AG34,True,
10,b3825,P07000,True,
11,b3350,P45522,True,
12,b3458,P04816,True,1USG
13,b3458,P04816,True,2LBP
14,b3458,P04816,True,1USK
15,b3458,P04816,True,1USI
16,b3829,P25665,True,
17,b2515,P62620,True,
18,b3359,P18335,True,
19,b3823,P0AG38,True,
20,b3826,P27848,True,
21,b2199,P0ABM1,True,
22,b2198,P0ABM5,True,
23,b2197,P69490,True,1SR3
24,b2925,P0AB71,True,1ZEN
25,b2925,P0AB71,True,1B57
26,b2925,P0AB71,True,1GYN
27,b2925,P0AB71,True,1DOS
28,b3734,P0ABB0,True,1D8S
29,b3734,P0ABB0,True,3OAA
30,b3735,P0ABA4,True,1ABV
31,b3735,P0ABA4,True,2A7U
32,b3736,P0ABA0,True,1L2P
33,b3736,P0ABA0,True,2KHK
34,b3736,P0ABA0,True,1B9U
35,b3737,P68699,True,4UTQ
36,b3737,P68699,True,1C99
37,b3737,P68699,True,1QO1
38,b3737,P68699,True,1C17
39,b3737,P68699,True,1L6T
40,b3737,P68699,True,1C0V
41,b3737,P68699,True,1IJP
42,b3737,P68699,True,1A91
43,b3737,P68699,True,1ATY
44,b3730,P0ACC7,True,1FWY
45,b3730,P0ACC7,True,1HV9
46,b3730,P0ACC7,True,3TWD
47,b3730,P0ACC7,True,4AA7
48,b3730,P0ACC7,True,2OI6
49,b3730,P0ACC7,True,2OI7
50,b3730,P0ACC7,True,2OI5
51,b3730,P0ACC7,True,1FXJ
52,b3731,P0A6E6,True,1AQT
53,b3731,P0A6E6,True,3OAA
54,b3731,P0A6E6,True,1BSN
55,b3731,P0A6E6,True,1BSH
56,b3731,P0A6E6,True,1QO1
57,b3731,P0A6E6,True,1FS0
58,b3732,P0ABB4,True,1D8S
59,b3732,P0ABB4,True,3OAA
60,b3733,P0ABA6,True,1D8S
61,b3733,P0ABA6,True,1FS0
62,b3733,P0ABA6,True,3OAA
63,b3738,P0AB98,True,1C17
64,b3739,P0ABC0,True,
65,b2601,P00888,True,
66,b2600,P07023,True,
67,b2174,P76445,True,
68,b2170,P33026,True,
69,b2997,P69741,True,
70,b2996,P0AAJ8,True,
71,b2995,P37180,True,
72,b2994,P0ACE0,True,
73,b3918,P06282,True,
74,b3919,P0A858,True,1TRE
75,b3919,P0A858,True,1TMH
76,b1897,P31678,True,
77,b3915,P69380,True,3H90
78,b3915,P69380,True,2QFI
79,b3916,P0A796,True,1PFK
80,b3916,P0A796,True,2PFK
81,b2514,P60906,True,2EL9
82,b2514,P60906,True,1KMN
83,b2514,P60906,True,1KMM
84,b2514,P60906,True,1HTT
85,b1096,P28305,True,1I2K
86,b1096,P28305,True,1I2L
87,b1096,P28305,True,1ET0
88,b1095,P0AAI5,True,2GFY
89,b1095,P0AAI5,True,2GFX
90,b1095,P0AAI5,True,3HO9
91,b1095,P0AAI5,True,1B3N
92,b1095,P0AAI5,True,3I8P
93,b1095,P0AAI5,True,2GFV
94,b1095,P0AAI5,True,2GFW
95,b1095,P0AAI5,True,3HO2
96,b1095,P0AAI5,True,3G0Y
97,b1095,P0AAI5,True,3G11
98,b1095,P0AAI5,True,1KAS
99,b1095,P0AAI5,True,3HNZ
100,b1094,P0A6A8,True,1L0H
101,b1094,P0A6A8,True,3NY7
102,b1094,P0A6A8,True,1T8K
103,b1094,P0A6A8,True,3EJB
104,b1094,P0A6A8,True,1L0I
105,b1094,P0A6A8,True,1ACP
106,b1094,P0A6A8,True,2FAE
107,b1094,P0A6A8,True,2FAD
108,b1094,P0A6A8,True,2FAC
109,b1094,P0A6A8,True,2K94
110,b1094,P0A6A8,True,3EJD
111,b1094,P0A6A8,True,3EJE
112,b1094,P0A6A8,True,2K92
113,b1094,P0A6A8,True,2K93
114,b1094,P0A6A8,True,2FHS
115,b1093,P0AEK2,True,1Q7C
116,b1093,P0AEK2,True,1Q7B
117,b1093,P0AEK2,True,1I01
118,b1092,P0AAI9,True,2G2O
119,b1092,P0AAI9,True,2G1H
120,b1092,P0AAI9,True,2G2Z
121,b1092,P0AAI9,True,2G2Y
122,b1092,P0AAI9,True,1MLA
123,b1091,P0A6R0,True,1HN9
124,b1091,P0A6R0,True,1EBL
125,b1091,P0A6R0,True,3IL9
126,b1091,P0A6R0,True,2EFT
