,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
11AS,2.5,X-RAY DIFFRACTION,10.1038/NSB0198-15,['ASN'],"{'A': ['P00963'], 'B': ['P00963']}","['A', 'B']",9437423,P 1 21 1,02-DEC-97,"[('A', ['6.3.1.1']), ('B', ['6.3.1.1'])]"
12AS,2.2,X-RAY DIFFRACTION,10.1038/NSB0198-15,"['AMP', 'ASN']","{'A': ['P00963'], 'B': ['P00963']}","['A', 'B']",9437423,P 1 21 1,02-DEC-97,"[('A', ['6.3.1.1']), ('B', ['6.3.1.1'])]"
1A23,,SOLUTION NMR,10.1021/BI980136Y,,{'A': ['P0AEG4']},['A'],9572841,,15-JAN-98,
1A24,,SOLUTION NMR,10.1021/BI980136Y,,{'A': ['P0AEG4']},['A'],9572841,,15-JAN-98,
1A2J,2.0,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00077-X,,{'A': ['P0AEG4']},['A'],9655827,P 1 21 1,06-JAN-98,
1A2L,2.7,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00077-X,,"{'A': ['P0AEG4'], 'B': ['P0AEG4']}","['A', 'B']",9655827,P 21 21 2,06-JAN-98,
1A2M,2.7,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00077-X,,"{'A': ['P0AEG4'], 'B': ['P0AEG4']}","['A', 'B']",9655827,P 21 21 2,06-JAN-98,
1A2N,2.8,X-RAY DIFFRACTION,10.1021/BI9722608,['TET'],{'A': ['P0A749']},['A'],9485407,P 3 2 1,06-JAN-98,"[('A', ['2.5.1.7'])]"
1A3A,1.8,X-RAY DIFFRACTION,10.1016/S0969-2126(98)00039-2,,"{'A': ['P00550'], 'C': ['P00550'], 'B': ['P00550'], 'D': ['P00550']}","['A', 'C', 'B', 'D']",9551558,P 1 21 1,19-JAN-98,"[('A', ['2.7.1.69']), ('C', ['2.7.1.69']), ('B', ['2.7.1.69']), ('D', ['2.7.1.69'])]"
1A3G,2.5,X-RAY DIFFRACTION,,['PLP'],"{'A': ['P0AB80'], 'C': ['P0AB80'], 'B': ['P0AB80']}","['A', 'C', 'B']",9163511,C 1 2 1,21-JAN-98,"[('A', ['2.6.1.42']), ('C', ['2.6.1.42']), ('B', ['2.6.1.42'])]"
1A40,1.7,X-RAY DIFFRACTION,,['PO4'],{'A': ['P0AG82']},['A'],9865949,P 21 21 21,10-FEB-98,
1A54,1.6,X-RAY DIFFRACTION,10.1021/BI980428Z,"['2HP', 'MDC']",{'A': ['P0AG82']},['A'],9671506,P 21 21 21,19-FEB-98,
1A55,2.4,X-RAY DIFFRACTION,10.1021/BI980428Z,['2HP'],{'A': ['P0AG82']},['A'],9671506,P 21 21 21,19-FEB-98,
1A69,2.1,X-RAY DIFFRACTION,10.1006/JMBI.1998.1799,"['SO4', 'FMB']","{'A': ['P0ABP8'], 'C': ['P0ABP8'], 'B': ['P0ABP8']}","['A', 'C', 'B']",9653038,P 61 2 2,08-MAR-98,"[('A', ['2.4.2.1']), ('C', ['2.4.2.1']), ('B', ['2.4.2.1'])]"
1A6X,,SOLUTION NMR,10.1021/BI971485F,,{'A': ['P0ABD8']},['A'],9398236,,04-MAR-98,"[('A', ['6.4.1.2'])]"
1A7L,2.9,X-RAY DIFFRACTION,10.1006/JMBI.1998.1866,['MAL'],"{'A': ['P0AEX9'], 'C': ['P0AEX9'], 'B': ['P0AEX9']}","['A', 'C', 'B']",9654443,P 1 21 1,16-MAR-98,
1A82,1.8,X-RAY DIFFRACTION,10.1073/PNAS.95.10.5495,"['MG', 'DNN', 'ATP']",{'A': ['P13000']},['A'],9576910,C 1 2 1,31-MAR-98,"[('A', ['6.3.3.3'])]"
